x,y,z
-11.6719,8.96122,-147.218
-11.6667,8.96366,-147.218
-10.4565,8.76028,-147.941
-10.457,8.76312,-147.936
-10.4537,8.76151,-147.937
-10.4553,8.76816,-147.94
-11.7773,10.5791,-147.598
-11.7757,10.5808,-147.6
-11.7787,10.5826,-147.598
-11.7787,10.5826,-147.598
-11.7772,10.5857,-147.598
-11.7735,10.5821,-147.594
-11.7749,10.5844,-147.593
-10.0773,10.6389,-148.881
-10.0744,10.637,-148.881
-10.0752,10.6408,-148.883
-10.0752,10.6408,-148.883
-10.0788,10.6437,-148.88
-10.075,10.639,-148.876
-10.075,10.639,-148.876
-10.0756,10.6435,-148.878
-10.0714,10.6426,-148.878
-10.0696,10.6394,-148.876
-11.9617,9.97881,-146.239
-11.9621,9.98023,-146.237
-11.9177,11.1746,-147.312
-11.9174,11.1755,-147.313
-11.7667,8.55602,-144.816
-11.7628,8.55779,-144.816
-11.7628,8.55779,-144.816
-8.90512,8.74742,-147.801
-8.9024,8.74551,-147.8
-8.9024,8.74551,-147.8
-8.90345,8.74927,-147.802
-8.90538,8.7479,-147.795
-8.90538,8.7479,-147.795
-8.90105,8.74924,-147.801
-8.90037,8.74738,-147.8
-8.9024,8.74514,-147.795
-8.90287,8.74835,-147.794
-8.90306,8.75582,-147.799
-8.90264,8.75559,-147.799
-12.1441,9.37482,-144.88
-12.1449,9.37605,-144.878
-12.1449,9.37605,-144.878
-12.1458,9.38097,-144.877
-12.1413,9.37777,-144.878
-9.42928,10.6277,-148.826
-9.91673,8.55835,-146.072
-9.91636,8.55815,-146.07
-12.0561,11.766,-147.028
-12.0561,11.766,-147.028
-12.2066,9.40472,-144.154
-12.207,9.40637,-144.154
-10.9309,8.37156,-144.347
-10.9323,8.37141,-144.342
-10.9305,8.37098,-144.343
-10.9305,8.37098,-144.343
-8.78389,10.6165,-148.769
-8.78389,10.6165,-148.769
-8.7829,10.6146,-148.767
-8.78767,10.6152,-148.762
-10.9297,8.37473,-144.343
-8.78687,10.6189,-148.765
-8.78458,10.6151,-148.761
-8.78458,10.6151,-148.761
-8.78144,10.6192,-148.767
-8.09993,8.7421,-147.476
-8.09485,8.74014,-147.479
-8.09485,8.74014,-147.479
-8.09485,8.74014,-147.479
-8.09503,8.75016,-147.478
-8.09503,8.75016,-147.478
-10.181,12.1088,-148.533
-10.1794,12.1088,-148.534
-11.9115,8.61609,-143.203
-11.9106,8.62011,-143.203
-12.268,9.4333,-143.433
-12.2678,9.43255,-143.431
-12.2678,9.43255,-143.431
-12.2687,9.43424,-143.43
-12.2687,9.43424,-143.43
-12.2687,9.43424,-143.43
-12.2684,9.43349,-143.428
-12.2684,9.43349,-143.428
-12.2692,9.43679,-143.427
-11.0075,8.399,-143.628
-11.0064,8.39888,-143.628
-7.88484,9.67658,-147.734
-7.88404,9.67658,-147.733
-12.5345,11.812,-144.975
-12.5277,11.813,-144.974
-11.0842,8.42694,-142.916
-11.0853,8.42725,-142.913
-11.0853,8.42725,-142.913
-11.0835,8.42681,-142.914
-11.0835,8.42681,-142.914
-11.0835,8.42681,-142.914
-11.0846,8.42712,-142.912
-12.1993,12.6641,-145.972
-12.199,12.665,-145.973
-12.4494,10.6523,-143.464
-12.4497,10.6535,-143.463
-11.9681,13.6365,-146.885
-11.9701,13.6376,-146.883
-11.9666,13.6395,-146.886
-11.9707,13.6406,-146.881
-11.9702,13.6425,-146.882
-11.9702,13.6425,-146.882
-11.9712,13.6437,-146.878
-11.9646,13.6412,-146.875
-11.9646,13.6412,-146.875
-8.79965,12.1121,-148.489
-8.79833,12.1135,-148.489
-10.3988,8.39824,-143.067
-10.399,8.39829,-143.065
-7.67614,10.6121,-147.99
-7.6738,10.614,-147.99
-7.6738,10.614,-147.99
-7.67808,10.6132,-147.983
-7.67467,10.6167,-147.99
-7.67558,10.6156,-147.985
-7.67268,10.6198,-147.988
-12.0563,8.67618,-141.59
-12.0554,8.68024,-141.59
-12.0554,8.68024,-141.59
-12.0546,8.6833,-141.59
-11.1604,8.45483,-142.2
-11.1593,8.45468,-142.201
-12.3924,9.49241,-141.982
-12.3888,9.49404,-141.982
-12.3888,9.49404,-141.982
-12.3856,9.49334,-141.981
-12.3859,9.49614,-141.98
-10.285,13.5752,-148.185
-10.285,13.5752,-148.185
-10.2864,13.578,-148.182
-10.2848,13.5728,-148.178
-10.2848,13.5728,-148.178
-10.2803,13.5726,-148.178
-10.2794,13.5739,-148.177
-7.31702,8.74727,-146.141
-7.30867,8.74715,-146.142
-7.30752,8.74529,-146.139
-7.30752,8.74529,-146.139
-7.30752,8.74529,-146.139
-7.30752,8.74529,-146.139
-7.30926,8.75304,-146.139
-9.71401,8.37006,-143.223
-9.71118,8.37044,-143.226
-9.71116,8.37006,-143.221
-9.71361,8.36969,-143.217
-9.71361,8.36969,-143.217
-9.71583,8.37008,-143.214
-12.4976,10.6821,-142.724
-12.4977,10.6833,-142.725
-9.71322,8.37501,-143.219
-9.71385,8.37977,-143.217
-12.63,11.869,-143.5
-12.6305,11.8716,-143.497
-12.6305,11.8716,-143.497
-12.6304,11.8736,-143.494
-12.6238,11.8727,-143.497
-11.2365,8.48264,-141.486
-11.2365,8.48264,-141.486
-11.239,8.4833,-141.483
-11.2389,8.48343,-141.48
-11.2377,8.48962,-141.487
-11.2356,8.48647,-141.486
-11.8345,14.3509,-146.725
-11.8339,14.3515,-146.726
-9.5498,13.5936,-148.197
-8.0958,8.55457,-144.549
-8.09574,8.55449,-144.547
-7.2524,10.6162,-147.294
-7.25215,10.6187,-147.294
-7.06953,9.68324,-146.37
-7.06968,9.68221,-146.368
-10.8272,8.56293,-141.438
-10.8284,8.56315,-141.436
-12.3423,13.5614,-144.916
-12.3421,13.563,-144.917
-12.3421,13.563,-144.917
-12.3422,13.5645,-144.914
-12.3364,13.5624,-144.917
-12.3355,13.5626,-144.916
-12.3362,13.5637,-144.916
-8.88413,8.36406,-142.961
-8.88409,8.36368,-142.956
-8.88409,8.36368,-142.956
-8.88597,8.36417,-142.954
-8.8847,8.36847,-142.957
-8.88576,8.36475,-142.952
-8.88538,8.37018,-142.957
-8.88489,8.36492,-142.951
-8.88363,8.37051,-142.958
-8.88363,8.37051,-142.958
-8.88183,8.36455,-142.953
-8.88294,8.36499,-142.951
-8.81537,13.6033,-148.211
-8.81537,13.6033,-148.211
-8.81686,13.6063,-148.21
-8.81686,13.6063,-148.21
-8.81273,13.606,-148.209
-8.81414,13.6093,-148.209
-8.81414,13.6093,-148.209
-8.81414,13.6093,-148.209
-8.81414,13.6093,-148.209
-8.81682,13.6118,-148.208
-8.81682,13.6118,-148.208
-8.81396,13.6068,-148.202
-8.81396,13.6068,-148.202
-8.81239,13.6116,-148.208
-8.81498,13.6145,-148.207
-8.81498,13.6145,-148.207
-9.82707,8.60847,-142.105
-9.82784,8.60862,-142.104
-11.698,15.0586,-146.569
-11.698,15.0586,-146.569
-11.698,15.0586,-146.569
-11.6995,15.0597,-146.565
-11.6984,15.061,-146.567
-12.4937,12.7769,-143.458
-12.4936,12.7779,-143.457
-10.4191,8.64342,-141.388
-10.4191,8.64342,-141.388
-10.42,8.64836,-141.389
-10.4208,8.64964,-141.389
-10.4212,8.64401,-141.382
-11.0008,14.9413,-147.066
-11.0014,14.9427,-147.065
-12.4476,14.2524,-144.797
-12.4479,14.2531,-144.795
-12.7272,11.9278,-142.016
-12.7266,11.9312,-142.019
-12.7266,11.9312,-142.019
-12.7208,11.9301,-142.019
-12.7277,11.9314,-142.013
-12.718,11.9272,-142.018
-12.7174,11.9325,-142.016
-13.5597,9.54772,-138.735
-13.5623,9.54865,-138.729
-13.5623,9.54865,-138.729
-6.84271,10.6204,-146.6
-13.5639,9.54932,-138.724
-6.841,10.6248,-146.601
-6.841,10.6248,-146.601
-13.5581,9.55299,-138.727
-6.83255,10.6163,-146.596
-6.83095,10.6203,-146.6
-6.83095,10.6203,-146.6
-6.83095,10.6203,-146.6
-6.83212,10.6186,-146.592
-6.83212,10.6186,-146.592
-6.83095,10.6238,-146.596
-13.2727,9.24928,-138.688
-13.2738,9.24957,-138.685
-12.1258,14.9999,-145.623
-12.126,15.0012,-145.622
-12.9816,8.94975,-138.65
-12.9843,8.95049,-138.644
-12.9843,8.95049,-138.644
-12.9864,8.95053,-138.639
-12.9835,8.95716,-138.644
